T,HICP
Ianuarie 2009,6.8
Februarie 2009,6.9
Martie 2009,6.7
Aprilie 2009,6.4
Mai 2009,5.9
Iunie 2009,5.8
Iulie 2009,5
August 2009,4.9
Septembrie 2009,4.9
Octombrie 2009,4.3
Noiembrie 2009,4.6
Decembrie 2009,4.7
Ianuarie 2010,5.2
Februarie 2010,4.5
Martie 2010,4.2
Aprilie 2010,4.3
Mai 2010,4.4
Iunie 2010,4.3
Iulie 2010,7.1
August 2010,7.6
Septembrie 2010,7.7
Octombrie 2010,7.9
Noiembrie 2010,7.7
Decembrie 2010,7.9
Ianuarie 2011,7
Februarie 2011,7.6
Martie 2011,8
Aprilie 2011,8.4
Mai 2011,8.5
Iunie 2011,8
Iulie 2011,4.9
August 2011,4.3
Septembrie 2011,3.5
Octombrie 2011,3.6
Noiembrie 2011,3.5
Decembrie 2011,3.2
Ianuarie 2012,2.8
Februarie 2012,2.7
Martie 2012,2.5
Aprilie 2012,1.9
Mai 2012,2
Iunie 2012,2.2
Iulie 2012,3.1
August 2012,4
Septembrie 2012,5.4
Octombrie 2012,5
Noiembrie 2012,4.4
Decembrie 2012,4.6
Ianuarie 2013,5.1
Februarie 2013,4.9
Martie 2013,4.4
Aprilie 2013,4.4
Mai 2013,4.4
Iunie 2013,4.5
Iulie 2013,3.4
August 2013,2.6
Septembrie 2013,1.1
Octombrie 2013,1.2
Noiembrie 2013,1.3
Decembrie 2013,1.3
Ianuarie 2014,1.2
Februarie 2014,1.3
Martie 2014,1.3
Aprilie 2014,1.6
Mai 2014,1.3
Iunie 2014,0.9
Iulie 2014,1.5
August 2014,1.3
Septembrie 2014,1.8
Octombrie 2014,1.8
Noiembrie 2014,1.5
Decembrie 2014,1
Ianuarie 2015,0.5
Februarie 2015,0.4
Martie 2015,0.8
Aprilie 2015,0.6
Mai 2015,1.3
Iunie 2015,-0.9
Iulie 2015,-1.4
August 2015,-1.7
Septembrie 2015,-1.5
Octombrie 2015,-1.4
Noiembrie 2015,-0.9
Decembrie 2015,-0.7
Ianuarie 2016,-1.5
Februarie 2016,-2.1
Martie 2016,-2.4
Aprilie 2016,-2.6
Mai 2016,-3
Iunie 2016,-0.7
Iulie 2016,-0.3
August 2016,0.3
Septembrie 2016,-0.1
Octombrie 2016,0.1
Noiembrie 2016,-0.2
Decembrie 2016,-0.1
Ianuarie 2017,0.3
Februarie 2017,0.5
Martie 2017,0.4
Aprilie 2017,0.6
Mai 2017,0.5
Iunie 2017,0.7
Iulie 2017,0.9
August 2017,0.6
Septembrie 2017,1.3
Octombrie 2017,2
Noiembrie 2017,2.6
Decembrie 2017,2.6
Ianuarie 2018,3.4
Februarie 2018,3.8
Martie 2018,4
Aprilie 2018,4.3
Mai 2018,4.6
Iunie 2018,4.7
Iulie 2018,4.3
August 2018,4.7
Septembrie 2018,4.7
Octombrie 2018,4.2
Noiembrie 2018,3.2
Decembrie 2018,3
Ianuarie 2019,3.2
Februarie 2019,4
Martie 2019,4.2
Aprilie 2019,4.4
Mai 2019,4.4
Iunie 2019,3.9
Iulie 2019,4.1
August 2019,4.1
Septembrie 2019,3.5
Octombrie 2019,3.2
Noiembrie 2019,3.8
Decembrie 2019,4
Ianuarie 2020,3.9
Februarie 2020,2.9
Martie 2020,2.7
Aprilie 2020,2.3
Mai 2020,1.8
Iunie 2020,2.2
Iulie 2020,2.5
August 2020,2.5
Septembrie 2020,2.1
Octombrie 2020,1.8
Noiembrie 2020,1.7
Decembrie 2020,1.8
Ianuarie 2021,2
Februarie 2021,2.5
Martie 2021,2.5
Aprilie 2021,2.7
Mai 2021,3.2
Iunie 2021,3.5
Iulie 2021,3.8
August 2021,4
Septembrie 2021,5.2
Octombrie 2021,6.5
Noiembrie 2021,6.7
Decembrie 2021,6.7
Ianuarie 2022,7.2
Februarie 2022,7.9
Martie 2022,9.6
Aprilie 2022,11.7
Mai 2022,12.4
Iunie 2022,13
Iulie 2022,13
August 2022,13.3
Septembrie 2022,13.4
Octombrie 2022,13.5
Noiembrie 2022,14.6
Decembrie 2022,14.1
Ianuarie 2023,13.4
Februarie 2023,13.4
Martie 2023,12.2
Aprilie 2023,10.4
Mai 2023,9.6
Iunie 2023,9.3
Iulie 2023,8.9
August 2023,9.3
Septembrie 2023,9.2
Octombrie 2023,8.3
Noiembrie 2023,6.9
Decembrie 2023,7
Ianuarie 2024,7.3
Februarie 2024,7.1
Martie 2024,6.7
