T,Rata Somajului
Ianuarie 2009,7.9
Februarie 2009,8.2
Martie 2009,8.1
Aprilie 2009,8.1
Mai 2009,8.2
Iunie 2009,8.2
Iulie 2009,8.6
August 2009,8.6
Septembrie 2009,8.7
Octombrie 2009,8.8
Noiembrie 2009,8.7
Decembrie 2009,9
Ianuarie 2010,9.3
Februarie 2010,9.3
Martie 2010,9.6
Aprilie 2010,8.9
Mai 2010,9
Iunie 2010,9
Iulie 2010,9
August 2010,9.1
Septembrie 2010,8.7
Octombrie 2010,8.8
Noiembrie 2010,8.8
Decembrie 2010,8.6
Ianuarie 2011,9
Februarie 2011,9
Martie 2011,8.7
Aprilie 2011,9.2
Mai 2011,9
Iunie 2011,9
Iulie 2011,9.1
August 2011,9.2
Septembrie 2011,9.3
Octombrie 2011,9.2
Noiembrie 2011,9.3
Decembrie 2011,9.3
Ianuarie 2012,8.9
Februarie 2012,8.7
Martie 2012,8.8
Aprilie 2012,8.7
Mai 2012,8.9
Iunie 2012,8.5
Iulie 2012,8.9
August 2012,8.6
Septembrie 2012,8.9
Octombrie 2012,8.5
Noiembrie 2012,8.5
Decembrie 2012,8.7
Ianuarie 2013,8.6
Februarie 2013,8.8
Martie 2013,9
Aprilie 2013,9.4
Mai 2013,8.9
Iunie 2013,9.6
Iulie 2013,8.8
August 2013,9
Septembrie 2013,9
Octombrie 2013,9
Noiembrie 2013,8.8
Decembrie 2013,8.9
Ianuarie 2014,8.7
Februarie 2014,8.6
Martie 2014,8.7
Aprilie 2014,8.7
Mai 2014,8.3
Iunie 2014,8.7
Iulie 2014,8.5
August 2014,8.7
Septembrie 2014,8.5
Octombrie 2014,8.5
Noiembrie 2014,8.8
Decembrie 2014,8.2
Ianuarie 2015,8.8
Februarie 2015,8.6
Martie 2015,8.4
Aprilie 2015,8.6
Mai 2015,8.4
Iunie 2015,8.3
Iulie 2015,8.2
August 2015,8.4
Septembrie 2015,8.3
Octombrie 2015,8.1
Noiembrie 2015,8.1
Decembrie 2015,8.1
Ianuarie 2016,7.8
Februarie 2016,7.6
Martie 2016,7.6
Aprilie 2016,7.3
Mai 2016,7.4
Iunie 2016,7.2
Iulie 2016,7.2
August 2016,7
Septembrie 2016,7.1
Octombrie 2016,6.7
Noiembrie 2016,6.6
Decembrie 2016,6.7
Ianuarie 2017,6.3
Februarie 2017,6.5
Martie 2017,6.4
Aprilie 2017,6
Mai 2017,6.3
Iunie 2017,6
Iulie 2017,6.1
August 2017,6
Septembrie 2017,5.9
Octombrie 2017,5.9
Noiembrie 2017,5.9
Decembrie 2017,5.8
Ianuarie 2018,5.6
Februarie 2018,5.6
Martie 2018,5.5
Aprilie 2018,5.4
Mai 2018,5.3
Iunie 2018,5.2
Iulie 2018,5.1
August 2018,5.1
Septembrie 2018,4.9
Octombrie 2018,5.3
Noiembrie 2018,5.2
Decembrie 2018,5
Ianuarie 2019,5.1
Februarie 2019,5
Martie 2019,4.7
Aprilie 2019,4.9
Mai 2019,4.8
Iunie 2019,4.7
Iulie 2019,5
August 2019,4.8
Septembrie 2019,5.1
Octombrie 2019,4.9
Noiembrie 2019,5
Decembrie 2019,5
Ianuarie 2020,4.7
Februarie 2020,5.3
Martie 2020,5.4
Aprilie 2020,6.2
Mai 2020,6.5
Iunie 2020,6.7
Iulie 2020,6.6
August 2020,6.4
Septembrie 2020,6.3
Octombrie 2020,6.2
Noiembrie 2020,6.2
Decembrie 2020,6.3
Ianuarie 2021,5.9
Februarie 2021,6
Martie 2021,5.8
Aprilie 2021,5.5
Mai 2021,5.3
Iunie 2021,5.1
Iulie 2021,5.4
August 2021,5.5
Septembrie 2021,5.5
Octombrie 2021,5.8
Noiembrie 2021,5.6
Decembrie 2021,5.8
Ianuarie 2022,5.9
Februarie 2022,5.8
Martie 2022,5.6
Aprilie 2022,5.5
Mai 2022,5.5
Iunie 2022,5.4
Iulie 2022,5.6
August 2022,5.5
Septembrie 2022,5.6
Octombrie 2022,5.6
Noiembrie 2022,5.6
Decembrie 2022,5.6
Ianuarie 2023,5.6
Februarie 2023,5.5
Martie 2023,5.5
Aprilie 2023,5.5
Mai 2023,5.5
Iunie 2023,5.7
Iulie 2023,5.6
August 2023,5.5
Septembrie 2023,5.6
Octombrie 2023,5.6
Noiembrie 2023,5.5
Decembrie 2023,5.6
Ianuarie 2024,5.7
Februarie 2024,5.6
Martie 2024,5.3
